country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,1,1,1,1,1,1,1,1,1,1,1,1,3,1,0,1,1,1,0,0,0
Afghanistan,14k,14k,13k,14k,13k,12k,11k,11k,11k,13k,13k,13k,14k,14k,14k,14k,12k,11k,11k,10k,11k
Angola,14k,15k,14k,13k,16k,18k,15k,19k,21k,22k,25k,24k,25k,23k,26k,24k,25k,29k,22k,20k,21k
Anguilla,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
Albania,23,21,20,19,27,13,12,17,17,6,10,10,10,11,11,11,11,11,11,10,14
Andorra,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1
Netherlands Antilles,0,1,1,1,1,1,0,1,1,0,,,,,,,,,,,
UAE,21,22,23,25,27,30,59,45,59,59,58,61,62,62,63,63,64,65,65,66,66
Argentina,1100,1000,1000,950,890,900,870,890,790,790,700,840,770,810,770,800,830,770,810,820,950
Armenia,170,160,180,170,180,200,210,210,200,170,170,130,160,120,100,98,73,64,51,48,58
American Samoa,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,1,1,1,1,1,2,2,1,1,1,3,2,1,2,1,1,1,1,1,1,1
Australia,72,100,81,65,75,71,69,60,72,65,63,63,39,59,51,57,55,56,60,59,60
Austria,90,69,79,56,54,62,63,53,54,53,43,60,46,72,75,68,42,39,51,43,43
Azerbaijan,1600,1500,1300,1200,1000,840,630,410,580,740,820,670,450,460,460,590,600,600,610,610,770
Burundi,7400,6600,6000,5200,4700,4400,4400,4100,3600,3200,2800,3100,2900,2600,2700,2900,2500,2400,2600,2800,3000
Belgium,120,120,100,110,92,100,75,99,92,70,76,65,68,64,48,68,40,40,40,40,39
Benin,1700,1700,1600,1500,1400,1400,1200,1200,1200,1300,1400,1200,1300,1400,1400,1300,1300,1500,1300,1200,1200
Burkina Faso,3300,3200,3100,3000,2900,2700,2700,2800,2600,2300,2300,2100,2100,2000,2000,1900,1900,2000,1800,2300,2400
