country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,10,11.6,13.3,15.6,18.6,21.6,24.2,26.2,27.6,28.6,29.6,30.4,31.1,31.9,33.2,34.2,35.7,37.1,38.5,40.4,42.4,44.8,47.8,52,57.5,64.5,71,79.3,87.8,98.2
Angola,64.4,95.1,136,190,260,345,443,555,677,809,949,1090,1240,1380,1510,1600,1670,1770,1860,1950,2100,2300,2390,2320,2150,1860,1550,1270,999,844
Albania,0.21,0.24,0.28,0.27,0.27,0.27,0.25,0.23,0.2,0.19,0.13,0.14,0.14,0.16,0.17,0.2,0.2,0.21,0.16,0.15,0.13,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.11,0.1
Andorra,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
UAE,0.53,0.61,0.68,0.76,0.85,0.94,1.04,1.16,1.29,1.45,1.64,1.85,2.08,2.27,2.42,2.53,2.71,3.09,3.65,4.22,4.62,4.87,4.85,4.75,4.52,4.1,3.52,2.93,2.74,2.5
Argentina,7.59,7.56,7.56,7.31,6.97,6.71,7.38,43,44.3,33.6,31.3,26.7,32.7,26.7,21.1,19.2,22.2,19.7,16.4,19.9,16.6,16.4,14.8,15.5,15.8,14,14,13.2,12.7,12.2
Armenia,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.09,0.12,0.11,0.14,0.15,0.09,0.12,0.18,0.18,0.24,0.29,0.27,0.23,0.21,0.2
American Samoa,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.12,0.12,0.12,0.1,0.07,0.05,0.04,0.05,0.05,0.05,0.03,0.03,0.04
Antigua and Barbuda,0.14,0.09,0.11,0.13,0.15,0.15,0.17,0.14,0.13,0.16,0.2,0.19,0.18,0.16,0.17,0.12,0.13,0.12,0.1,0.11,0.11,0.1,0.1,0.09,0.13,0.09,0.09,0.08,0.08,0.07
Australia,1.81,2.09,2.12,2.25,2.27,2.28,1.86,1.17,1.07,0.95,0.89,1.01,0.84,0.89,1.11,0.89,1.26,1.09,0.87,0.74,0.72,0.79,0.66,0.67,0.67,0.74,0.69,0.68,0.66,0.65
