country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,7,6,6,6,7,8,9,10,11,12,13,15,16,17,17,18,18,19,19,20,13
Angola,10k,9900,10k,11k,12k,14k,16k,7100,20k,7800,22k,13k,24k,24k,23k,22k,21k,21k,11k,8500,13k
Anguilla,,,,,,,,,,,,,,,3,,,,,,
Albania,1,1,1,1,1,2,2,2,2,3,3,4,4,5,4,5,5,6,5,10,4
UAE,5,3,3,4,3,2,2,1,1,0,7,4,7,3,3,2,7,6,3,0,5
Argentina,1000,860,790,700,740,730,730,840,770,660,640,870,790,790,780,780,810,760,750,810,840
Armenia,27,31,36,45,55,86,78,82,83,79,24,52,79,83,100,130,71,83,95,81,72
American Samoa,,,,,,,0,0,0,0,0,,,,,,,0,,,
Antigua and Barbuda,,,,,,3,3,0,0,0,7,5,2,5,1,,0,0,0,,0
Australia,110,93,87,73,72,59,54,44,45,47,45,43,18,37,24,31,29,34,30,25,24
Austria,79,64,61,51,44,39,31,25,23,20,20,20,18,16,14,14,15,14,12,12,9
Azerbaijan,160,140,140,110,160,190,200,200,280,350,72,55,130,120,150,110,140,110,85,94,110
Burundi,9000,7400,6200,5200,4600,4200,4000,3900,3600,3400,2900,2700,2300,1800,1700,1700,1500,1400,1300,1000,970
Belgium,110,110,95,79,92,69,71,66,66,49,78,58,40,36,35,36,40,38,39,38,33
Benin,1700,1400,1300,1100,1100,1100,870,860,1000,1000,990,1100,1000,1000,1000,970,940,980,940,1100,940
Burkina Faso,3100,2700,2300,2100,1900,1900,2500,2600,2000,1800,1600,1500,1300,1200,1100,870,910,880,930,800,750
Bangladesh,98,110,140,170,220,280,340,410,460,510,550,600,640,660,660,660,670,680,690,700,710
Bulgaria,2,3,4,6,8,11,14,16,19,20,3,8,5,7,5,18,0,5,0,1,14
Bahrain,7,6,6,7,9,5,4,12,11,12,11,12,2,2,1,1,1,1,1,14,9
Bahamas,59,42,28,15,28,23,37,14,21,17,17,13,9,12,13,20,43,21,12,16,7
Bosnia and Herzegovina,3,2,1,2,2,2,2,3,3,3,2,3,3,3,3,3,2,2,2,2,2
Belarus,73,58,61,86,81,130,150,190,190,240,230,250,260,290,310,260,350,250,230,200,220
Belize,,,,14,15,28,12,12,21,19,34,32,22,29,33,18,44,32,37,20,22
Bermuda,,,,,,,,,,,0,0,0,,,,0,0,0,0,1
Bolivia,720,600,520,470,440,450,470,500,490,480,470,470,430,370,530,560,500,560,610,580,500
Brazil,7800,6500,6500,6400,6700,6700,6800,7400,7900,8000,15k,15k,15k,14k,14k,11k,11k,11k,11k,10k,11k
Barbados,2,4,3,5,9,4,2,5,2,0,2,0,1,1,1,0,1,0,0,0,1
Brunei,0,0,1,1,1,2,1,0,0,2,1,3,2,0,0,1,3,2,3,2,6
Bhutan,52,45,46,45,46,51,51,60,59,70,81,77,70,64,13,11,7,6,3,4,8
Botswana,12k,12k,12k,11k,11k,10k,9900,8100,7700,7100,6700,6100,5400,5200,4800,4500,4200,3200,3300,2800,2700
Central African Republic,13k,12k,11k,11k,11k,11k,11k,11k,11k,11k,11k,11k,10k,9800,9200,8500,7400,6900,6600,6500,7900
Canada,260,250,220,190,160,140,110,94,91,90,61,75,81,72,65,66,72,77,72,83,84
Switzerland,120,100,100,90,77,61,47,35,37,39,39,38,28,28,24,29,31,29,26,21,18
Chile,490,470,360,300,330,270,230,190,180,180,190,190,180,170,170,390,370,360,360,380,290
China,27k,23k,21k,19k,19k,20k,21k,22k,21k,21k,20k,20k,20k,19k,17k,16k,15k,15k,14k,14k,12k
Cote d'Ivoire,40k,35k,31k,27k,25k,23k,22k,21k,13k,13k,9700,10k,10k,9200,8900,8700,7900,7300,7100,6200,5200
Cameroon,25k,24k,24k,23k,23k,24k,24k,25k,22k,22k,19k,20k,19k,20k,19k,18k,17k,15k,13k,12k,11k
"Congo, Dem. Rep.",56k,49k,44k,41k,39k,40k,42k,16k,16k,44k,43k,43k,42k,41k,38k,35k,33k,26k,30k,30k,22k
"Congo, Rep.",6400,6200,6100,6100,6100,6400,6600,6900,6800,6800,6700,6800,6900,6800,6700,6500,6300,6200,6200,6100,6200
Cook Is,,,,,,,,,,,,0,0,,,,,,,0,
Colombia,1500,1200,1100,1000,940,890,800,1100,1400,1300,1100,1200,2300,2400,2000,2000,2200,1900,2100,2200,2700
Comoros,1,1,1,1,0,4,1,1,0,1,1,1,8,1,1,1,1,0,5,1,1
Cape Verde,49,44,26,38,34,17,33,36,44,44,47,63,63,31,32,39,25,35,35,42,28
Costa Rica,29,27,22,31,28,89,67,59,56,25,67,46,70,46,54,40,43,43,54,49,29
