country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,35,65,62,69,71,79,85,89,100,120,120,140,160,160,170,160,140,130,130,120,130
Angola,1900,3600,3200,3300,4200,5300,4800,3000,7600,3500,9100,5500,9400,8600,9600,8700,8700,9400,3700,2600,2900
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Albania,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,3,2,2,2
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
UAE,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0
Argentina,180,160,140,130,130,130,130,150,140,120,110,160,140,140,140,140,150,140,140,150,270
Armenia,6,7,8,10,13,20,18,19,19,18,6,12,18,19,24,30,16,19,22,19,28
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Australia,19,17,16,13,13,11,10,8,8,8,8,8,3,7,4,6,5,6,5,4,4
Austria,14,12,11,9,8,7,6,5,4,4,4,4,3,3,2,2,3,3,2,2,2
Azerbaijan,36,32,34,26,39,48,50,51,70,85,15,11,28,25,33,23,29,22,18,20,25
Burundi,4300,3500,2900,2400,2000,1900,2000,1800,1600,1300,1000,1100,890,630,620,660,510,470,480,400,430
Belgium,19,20,17,14,16,12,13,12,12,9,14,10,7,7,6,7,7,7,7,7,6
Benin,590,530,460,430,400,400,300,310,350,350,360,350,360,370,390,320,330,380,320,330,310
Burkina Faso,1500,1300,1100,1000,950,900,1100,1200,880,730,660,580,490,430,400,310,320,310,310,330,340
Bangladesh,14,19,25,35,47,64,79,97,220,220,260,280,280,270,270,260,240,210,180,150,170
Bulgaria,1,1,1,1,1,3,2,4,4,4,1,2,1,2,1,4,0,1,0,0,3
Bahrain,1,1,1,1,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,2,3
Bahamas,11,8,5,3,5,4,7,2,4,3,3,2,2,2,2,4,8,4,2,3,1
Bosnia and Herzegovina,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
Belarus,17,13,14,20,18,29,35,44,44,54,54,57,60,66,70,59,80,58,52,45,78
Belize,0,0,0,3,3,5,2,2,4,3,6,6,4,5,6,3,8,6,7,4,4
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,250,370,330,300,270,270,300,310,270,250,240,220,140,120,180,190,180,190,100,89,99
Brazil,1400,1200,1200,1200,1200,1200,1200,1300,1400,1400,2700,2600,2600,2500,2400,2100,2000,2000,1800,1800,2000
Barbados,0,1,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
Bhutan,12,11,12,12,12,14,14,17,16,19,22,21,19,18,3,2,2,1,1,1,1
Botswana,3700,3400,2900,2900,2500,2200,2700,2500,1900,1700,2000,1800,1300,1100,1200,1400,970,660,830,1100,1500
Central African Republic,7800,7600,6400,6600,6700,7200,6600,6900,6700,6000,6600,3400,6000,5600,4900,4600,3600,3500,3100,2900,2700
Canada,47,45,39,34,29,25,20,17,16,16,11,14,15,13,12,12,13,14,13,15,15
Switzerland,21,19,19,16,14,11,9,6,7,7,7,7,5,5,4,5,6,5,5,4,3
Chile,89,85,65,55,59,48,41,34,33,33,34,34,33,31,31,70,67,65,64,69,52
China,12k,10k,9400,7700,5800,4900,4900,4300,4000,3900,3700,3700,3700,3500,3300,3100,2900,2400,2000,2200,2100
Cote d'Ivoire,21k,18k,16k,14k,12k,11k,10k,8900,5000,5000,3800,3900,3500,2900,3000,3000,2900,2700,2500,2200,2200
Cameroon,16k,14k,14k,13k,13k,12k,12k,12k,10k,9900,8600,9100,8600,8500,7600,7100,6700,6000,5700,5000,6700
"Congo, Dem. Rep.",24k,21k,19k,17k,15k,16k,18k,6900,6500,18k,18k,19k,20k,19k,18k,18k,16k,9800,11k,9600,9100
"Congo, Rep.",1100,1200,1400,2100,1800,2000,2500,2500,2600,2400,2300,2100,2200,2400,2600,2600,2500,2600,2400,2200,2300
Cook Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,330,280,240,230,210,200,180,240,320,310,250,270,510,550,450,460,500,440,480,510,900
Comoros,0,0,0,0,0,2,0,0,0,0,0,1,2,1,0,0,0,0,2,0,1
Cape Verde,10,9,6,9,8,4,9,9,12,12,13,14,13,6,7,8,5,7,7,8,9
Costa Rica,7,6,5,7,6,20,15,13,13,6,15,10,16,10,12,9,10,10,12,11,9
Cuba,4,3,3,0,0,0,5,5,17,0,2,13,15,13,18,14,14,20,16,14,15
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
Czech Republic,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Germany,140,100,95,87,68,54,41,32,27,27,26,25,24,22,22,28,30,28,28,25,21
Djibouti,470,450,310,300,260,280,280,120,140,130,340,280,260,220,56,41,35,27,19,16,17
